"section_type","Designation","m","A","Ix","Iy","Zx","Zy","Zplx","rx","ry","J","Iu","Iv","ru","rv","h","b","t","c","source_row"
"Equal Angles","25x25x3","1.11","0.142","0.008",,"0.448",,,"7.49",,"0.476","0.013","0.003","9.43","4.83","25","25","3",,"146"
"Equal Angles","25x25x5","1.77","0.226","0.012",,"0.708",,,"7.3",,"1.98","0.019","0.005","9.14","4.8","25","25","5",,"147"
"Equal Angles","30x30x3","1.36","0.174","0.014",,"0.649",,,"8.99",,"0.635","0.022","0.006","11.3","5.81","30","30","3",,"149"
"Equal Angles","30x30x5","2.18","0.278","0.022",,"1.04",,,"8.83",,"2.58","0.034","0.009","11.1","5.75","30","30","5",,"150"
"Equal Angles","40x40x3","1.85","0.235","0.035",,"1.18",,,"12.1",,"0.882","0.055","0.014","15.3","7.84","40","40","3",,"152"
"Equal Angles","40x40x4","2.42","0.308","0.045",,"1.55",,,"12.1",,"1.92","0.071","0.019","15.2","7.77","40","40","4",,"153"
"Equal Angles","40x40x5","2.97","0.379","0.054",,"1.91",,,"12",,"3.56","0.086","0.023","15.1","7.73","40","40","5",,"154"
"Equal Angles","40x40x6","3.52","0.448","0.063",,"2.26",,,"11.9",,"5.92","0.1","0.027","14.9","7.7","40","40","6",,"155"
"Equal Angles","45x45x3","2.1","0.268","0.05",,"1.52",,,"13.7",,"1.06","0.079","0.021","17.2","8.88","45","45","3",,"157"
"Equal Angles","45x45x4","2.74","0.349","0.064",,"1.97",,,"13.6",,"2.27","0.102","0.027","17.1","8.76","45","45","4",,"158"
"Equal Angles","45x45x5","3.38","0.43","0.078",,"2.43",,,"13.5",,"4.17","0.124","0.033","17","8.71","45","45","5",,"159"
"Equal Angles","45x45x6","4","0.509","0.092",,"2.88",,,"13.4",,"6.9","0.145","0.038","16.9","8.67","45","45","6",,"160"
"Equal Angles","50x50x3","2.34","0.298","0.07",,"1.89",,,"15.3",,"1.15","0.11","0.029","19.2","9.92","50","50","3",,"163"
"Equal Angles","50x50x4","3.06","0.389","0.09",,"2.46",,,"15.2",,"2.48","0.142","0.037","19.1","9.79","50","50","4",,"164"
"Equal Angles","50x50x5","3.77","0.48","0.11",,"3.05",,,"15.1",,"4.58","0.174","0.046","19","9.73","50","50","5",,"165"
"Equal Angles","50x50x6","4.47","0.569","0.128",,"3.61",,,"15",,"7.62","0.203","0.053","18.9","9.68","50","50","6",,"166"
"Equal Angles","50x50x8","5.82","0.741","0.163",,"4.68",,,"14.8",,"17","0.257","0.069","18.6","9.63","50","50","8",,"167"
"Equal Angles","60x60x4","3.7","0.471","0.158",,"3.59",,,"18.3",,"3.07","0.25","0.066","23","11.8","60","60","4",,"169"
"Equal Angles","60x60x5","4.57","0.582","0.194",,"4.45",,,"18.2",,"5.64","0.307","0.08","23","11.7","60","60","5",,"170"
"Equal Angles","60x60x6","5.42","0.691","0.228",,"5.29",,,"18.2",,"9.36","0.361","0.094","22.9","11.7","60","60","6",,"171"
"Equal Angles","60x60x8","7.09","0.903","0.292",,"6.89",,,"18",,"21","0.461","0.122","22.6","11.6","60","60","8",,"172"
"Equal Angles","60x60x10","8.69","1.11","0.349",,"8.41",,,"17.8",,"39.2","0.551","0.148","22.3","11.6","60","60","10",,"173"
"Equal Angles","70x70x6","6.38","0.813","0.369",,"7.27",,,"21.3",,"11.2","0.585","0.153","26.8","13.7","70","70","6",,"175"
"Equal Angles","70x70x8","8.36","1.06","0.475",,"9.52",,,"21.1",,"25","0.753","0.197","26.6","13.6","70","70","8",,"176"
"Equal Angles","70x70x10","10.3","1.31","0.572",,"11.7",,,"20.9",,"46.8","0.905","0.24","26.3","13.5","70","70","10",,"177"
"Equal Angles","80x80x6","7.34","0.935","0.558",,"9.57",,,"24.4",,"13","0.885","0.231","30.8","15.7","80","80","6",,"179"
"Equal Angles","80x80x8","9.63","1.23","0.722",,"12.6",,,"24.3",,"29.1","1.15","0.299","30.6","15.6","80","80","8",,"180"
"Equal Angles","80x80x10","11.9","1.51","0.875",,"15.4",,,"24.1",,"54.5","1.39","0.364","30.3","15.5","80","80","10",,"181"
"Equal Angles","80x80x12","14","1.79","1.02",,"18.2",,,"23.9",,"91.2","1.61","0.427","30","15.5","80","80","12",,"182"
"Equal Angles","90x90x6","8.3","1.06","0.803",,"12.2",,,"27.6",,"15","1.27","0.333","34.7","17.8","90","90","6",,"184"
"Equal Angles","90x90x8","10.9","1.39","1.04",,"16.1",,,"27.4",,"33.3","1.66","0.431","34.5","17.6","90","90","8",,"185"
"Equal Angles","90x90x10","13.4","1.71","1.27",,"19.8",,,"27.2",,"62.4","2.01","0.526","34.3","17.5","90","90","10",,"186"
"Equal Angles","90x90x12","15.9","2.03","1.48",,"23.3",,,"27",,"104","2.34","0.617","34","17.4","90","90","12",,"187"
"Equal Angles","100x100x8","12.2","1.55","1.45",,"19.9",,,"30.6",,"37.6","2.3","0.599","38.5","19.6","100","100","8",,"189"
"Equal Angles","100x100x10","15","1.92","1.77",,"24.6",,,"30.4",,"70.3","2.8","0.73","38.3","19.5","100","100","10",,"190"
"Equal Angles","100x100x12","17.8","2.27","2.07",,"29.1",,,"30.2",,"118","3.28","0.857","38","19.4","100","100","12",,"191"
"Equal Angles","100x100x15","21.9","2.79","2.49",,"35.6",,,"29.8",,"221","3.93","1.04","37.5","19.3","100","100","15",,"192"
"Equal Angles","120x120x8","14.7","1.87","2.55",,"29.1",,,"36.9",,"45.4","4.05","1.05","46.5","23.7","120","120","8",,"194"
"Equal Angles","120x120x10","18.2","2.32","3.13",,"36",,,"36.7",,"85.1","4.97","1.29","46.3","23.6","120","120","10",,"195"
"Equal Angles","120x120x12","21.6","2.75","3.68",,"42.7",,,"36.5",,"143","5.84","1.52","46","23.5","120","120","12",,"196"
"Equal Angles","120x120x15","26.6","3.39","4.45",,"52.4",,,"36.2",,"269","7.05","1.85","45.6","23.3","120","120","15",,"197"
"Equal Angles","150x150x10","23","2.93","6.24",,"56.9",,,"46.2",,"110","9.91","2.58","58.2","29.7","150","150","10",,"199"
"Equal Angles","150x150x12","27.3","3.48","7.37",,"67.7",,,"46",,"184","11.7","3.03","58","29.5","150","150","12",,"200"
"Equal Angles","150x150x15","33.8","4.3","8.98",,"83.5",,,"45.7",,"347","14.3","3.7","57.6","29.3","150","150","15",,"201"
"Equal Angles","150x150x18","40.1","5.1","10.5",,"98.7",,,"45.4",,"584","16.6","4.35","57.1","29.2","150","150","18",,"202"
"Equal Angles","200x200x16","48.5","6.18","23.4",,"162",,,"61.6",,"564","37.2","9.6","77.6","39.4","200","200","16",,"204"
"Equal Angles","200x200x18","54.2","6.91","26",,"181",,,"61.3",,"790","41.3","10.7","77.3","39.3","200","200","18",,"205"
